City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
398,jaisalmer,26.9147,70.9181,99.5,14,0,9.1,IN,2023-10-04 10:39:22
399,alva,56.1528,-3.8051,57.58,91,100,1.99,GB,2023-10-04 10:39:22
400,sao joao da barra,-21.6403,-41.0511,73.49,87,87,6.02,BR,2023-10-04 10:39:22
401,port douglas,-16.4833,145.4667,74.95,84,61,5.03,AU,2023-10-04 10:39:22
402,zeya,53.75,127.2667,37.89,60,83,8.01,RU,2023-10-04 10:39:23
403,donaghadee,54.6333,-5.5333,58.93,81,100,5.01,GB,2023-10-04 10:39:23
404,cabo san lucas,22.8909,-109.9124,83.75,69,95,4.25,MX,2023-10-04 10:35:32
405,labytnangi,66.6572,66.4183,42.06,71,100,7.29,RU,2023-10-04 10:39:23
406,palpa,-14.5336,-75.1856,63.99,87,21,1.12,PE,2023-10-04 10:39:23
407,santa vitoria do palmar,-33.5189,-53.3681,62.47,92,100,7.09,BR,2023-10-04 10:37:08
408,ihosy,-22.4,46.1167,88.48,16,0,5.66,MG,2023-10-04 10:39:24
409,west richland,46.3043,-119.3614,59.76,74,0,11.01,US,2023-10-04 10:39:24
410,nabire,-3.3667,135.4833,79.5,88,73,0.72,ID,2023-10-04 10:39:24
411,cabedelo,-6.9811,-34.8339,77.67,64,99,12.39,BR,2023-10-04 10:39:24
412,s'arenal,39.5,2.75,84.34,59,20,14.97,ES,2023-10-04 10:39:25
413,pastos bons,-6.6017,-44.0767,84.24,57,36,8.5,BR,2023-10-04 10:39:25
414,roosevelt,33.9668,-103.4505,63.9,77,45,8.93,US,2023-10-04 10:39:25
415,vecvarkava,56.1833,26.5167,55.76,70,89,14.2,LV,2023-10-04 10:39:25
416,puerto carreno,6.189,-67.4859,77.14,89,91,5.35,CO,2023-10-04 10:39:26
417,miranda,3.2499,-76.2281,72.37,94,94,2.55,CO,2023-10-04 10:39:26
418,limon,10.0,-83.0333,76.05,86,100,9.57,CR,2023-10-04 10:39:26
419,piat,17.7905,121.478,79.48,75,100,5.37,PH,2023-10-04 10:39:26
420,san nicolas,18.1725,120.5953,84.11,79,100,9.22,PH,2023-10-04 10:34:42
421,galliano,29.4422,-90.2992,77.0,65,0,0.0,US,2023-10-04 10:39:27
422,kabinda,-6.1333,24.4833,91.36,23,100,8.37,CD,2023-10-04 10:39:27
423,eirunepe,-6.6603,-69.8736,75.25,70,60,2.57,BR,2023-10-04 10:39:27
424,benjamin constant,-4.3831,-70.0311,73.53,67,99,1.16,BR,2023-10-04 10:39:27
425,sinan,34.8262,126.1086,68.11,64,99,13.73,KR,2023-10-04 10:39:28
426,codrington,-38.2667,141.9667,51.69,60,79,14.65,AU,2023-10-04 10:39:28
427,chulakkurgan,43.765,69.1814,70.86,24,44,10.38,KZ,2023-10-04 10:39:28
428,prince george,53.9166,-122.753,44.62,98,0,4.61,CA,2023-10-04 10:39:28
429,atamyrat,37.8357,65.2106,93.18,11,2,10.02,TM,2023-10-04 10:39:28
430,santa marinella,42.0345,11.8536,85.55,63,99,8.9,IT,2023-10-04 10:39:29
431,port alfred,-33.5906,26.891,70.18,75,89,8.01,ZA,2023-10-04 10:39:29
432,mont-dore,-22.2833,166.5833,66.18,74,88,11.18,NC,2023-10-04 10:39:29
433,hassi messaoud,31.6804,6.0729,84.06,32,0,13.8,DZ,2023-10-04 10:39:29
434,callao,-12.0667,-77.15,66.72,82,100,6.91,PE,2023-10-04 10:39:29
435,choibalsan,48.0667,114.5,44.64,43,0,8.41,MN,2023-10-04 10:39:30
436,morondava,-20.2833,44.2833,82.35,65,0,13.67,MG,2023-10-04 10:39:30
437,hotan,37.0997,79.9269,74.71,15,93,2.8,CN,2023-10-04 10:39:30
438,nova sintra,14.8667,-24.7167,75.06,76,89,1.83,CV,2023-10-04 10:39:30
439,burang,30.25,81.1667,52.18,44,1,7.63,CN,2023-10-04 10:39:31
440,plastun,44.7561,136.2939,55.09,95,100,3.0,RU,2023-10-04 10:39:31
441,bandon,51.7469,-8.7425,56.79,82,100,15.86,IE,2023-10-04 10:39:31
442,sovetskaya gavan',48.9723,140.2878,51.1,60,100,2.26,RU,2023-10-04 10:39:31
443,howard springs,-12.497,131.047,84.11,74,55,5.66,AU,2023-10-04 10:39:31
444,galashki,43.1136,44.9894,65.48,59,100,4.05,RU,2023-10-04 10:39:32
445,forio,40.7342,13.8646,79.77,85,13,4.0,IT,2023-10-04 10:39:32
446,kendari,-3.945,122.4989,76.68,88,3,4.21,ID,2023-10-04 10:39:32
447,mahina,-17.5065,-149.489,76.77,78,0,4.61,PF,2023-10-04 10:39:32
448,tomatlan,19.9333,-105.25,76.44,94,100,2.89,MX,2023-10-04 10:39:32
449,fort mcmurray,56.7268,-111.381,49.59,81,100,4.61,CA,2023-10-04 10:39:33
450,miches,18.9836,-69.0476,79.14,92,96,3.87,DO,2023-10-04 10:39:33
451,puerto deseado,-47.7503,-65.8938,48.92,54,0,8.1,AR,2023-10-04 10:39:33
452,douz,33.4663,9.0203,82.71,33,1,7.81,TN,2023-10-04 10:39:33
453,las khorey,11.1595,48.1967,88.95,58,9,6.29,SO,2023-10-04 10:39:34
454,alo,7.4178,6.7371,88.23,66,100,0.43,NG,2023-10-04 10:39:34
455,antsiranana,-12.2787,49.2917,86.76,48,40,28.77,MG,2023-10-04 10:39:34
456,mawlaik,23.6333,94.4167,80.49,94,56,1.77,MM,2023-10-04 10:39:34
457,ghatampur,26.1667,80.1667,89.38,35,0,8.08,IN,2023-10-04 10:39:34
458,nuuk,64.1835,-51.7216,38.01,75,75,10.36,GL,2023-10-04 10:39:35
459,huesca,42.1362,-0.4087,76.05,66,0,8.05,ES,2023-10-04 10:39:35
460,tashtyp,52.7939,89.8983,51.04,59,3,1.97,RU,2023-10-04 10:39:35
461,sunbury,-37.5833,144.7333,52.56,85,100,3.0,AU,2023-10-04 10:39:36
462,skelleftea,64.7507,20.9528,52.16,76,0,8.05,SE,2023-10-04 10:39:36
463,kargasok,59.0556,80.8572,47.97,89,100,5.99,RU,2023-10-04 10:39:36
464,nuku'alofa,-21.1333,-175.2,70.14,78,75,9.22,TO,2023-10-04 10:39:36
465,qui nhon,13.7667,109.2333,81.34,86,27,1.72,VN,2023-10-04 10:39:36
466,nikolayevsk-on-amure,53.1406,140.73,45.07,84,100,3.69,RU,2023-10-04 10:39:37
467,belmonte,-15.8631,-38.8828,76.5,87,99,8.16,BR,2023-10-04 10:39:37
468,monster,52.0258,4.175,64.02,71,20,13.8,NL,2023-10-04 10:39:37
469,buka,40.8108,69.1986,86.34,12,12,6.46,UZ,2023-10-04 10:35:23
470,siuna,13.7332,-84.7773,72.5,98,12,1.9,NI,2023-10-04 10:39:37
471,khandyga,62.6667,135.6,34.57,99,100,3.6,RU,2023-10-04 10:39:38
472,namibe,-15.1961,12.1522,77.11,69,27,12.53,AO,2023-10-04 10:34:59
473,heunghae,36.1125,129.3522,67.48,64,100,10.47,KR,2023-10-04 10:39:38
474,fujin,47.26,132.0322,47.12,85,64,15.46,CN,2023-10-04 10:39:38
475,iquitos,-3.7481,-73.2472,77.04,94,0,2.3,PE,2023-10-04 10:39:38
476,ketchikan,55.3422,-131.6461,48.18,93,0,3.44,US,2023-10-04 10:39:39
477,cockburn town,21.4612,-71.1419,83.52,77,98,10.85,TC,2023-10-04 10:38:31
478,sinop,41.7711,34.8709,63.03,42,0,8.37,TR,2023-10-04 10:36:36
479,anloga,5.7947,0.8973,83.23,73,48,11.16,GH,2023-10-04 10:39:40
480,kas,36.2018,29.6377,80.29,58,4,7.83,TR,2023-10-04 10:39:40
481,palmer,42.1584,-72.3287,65.68,78,100,0.0,US,2023-10-04 10:37:09
482,lesogorsk,56.0458,99.5136,49.93,64,87,4.0,RU,2023-10-04 10:39:40
483,baise city,23.8997,106.6133,82.4,75,32,1.52,CN,2023-10-04 10:39:41
484,helong,42.5397,128.9972,48.45,48,43,12.33,CN,2023-10-04 10:39:41
485,nadym,65.5333,72.5167,37.85,71,100,10.87,RU,2023-10-04 10:39:41
486,santarem,-2.4431,-54.7083,82.53,78,0,14.97,BR,2023-10-04 10:39:41
487,martapura,-3.4167,114.85,87.89,66,40,5.75,ID,2023-10-04 10:39:41
488,pandan,14.0453,124.1694,82.06,81,100,8.37,PH,2023-10-04 10:39:42
489,zaragoza,41.6561,-0.8773,76.44,53,0,5.75,ES,2023-10-04 10:37:39
